sentence1,sentence2,label
"Following Tessa 's death , in 1939 , Wheeler married Mavis de <unk> Cole , although their relationship was strained ; Cole 's diaries revealed that Wheeler physically hit her when she annoyed him .","In 1945 Mortimer Wheeler married his third wife , Margaret "" Kim "" Collingridge , although they became estranged in 1956 ; they never divorced as a result of her devout Catholicism .",0
"Following Tessa 's death , in 1939 , Wheeler married Mavis de <unk> Cole , although their relationship was strained ; Cole 's diaries revealed that Wheeler physically hit her when she annoyed him .","The resulting film was a commercial and critical success that earned him a nomination for the Academy Award for Best Actor , and created his screen reputation .",1
"<unk> of "" Key to My Heart "" were featured in the soundtrack .","Unlike previous Tales games , where voice work was recorded out of order , the voice work was recorded in order of the game 's events to add dramatic weight to the performances .",0
"<unk> of "" Key to My Heart "" were featured in the soundtrack .","The real frontals , largely internal to the crest base structure , are not visible from the side .",1
"In PVC , cadmium was used as heat , light , and <unk> stabilizers .","Currently , cadmium stabilizers have been completely replaced with barium @-@ zinc , calcium @-@ zinc and <unk> @-@ tin stabilizers .",0
"In PVC , cadmium was used as heat , light , and <unk> stabilizers .","It was more written with the feeling of his loss upon me than many poems in In <unk> . """,1
In 2013 a new stage version of Rogue Herries was presented by the Theatre by the Lake company in Walpole 's adopted home of Keswick .,The BBC speculated that this could mark a revival in interest in his works .,0
In 2013 a new stage version of Rogue Herries was presented by the Theatre by the Lake company in Walpole 's adopted home of Keswick .,"S. noctilio was detected in North America in the 2000s ( decade ) ; in Canada alone , the total economic loss to the forestry industry caused by the Sirex – Amylostereum symbiosis could be as high as $ 254 million per year for the next 20 years .",1
They had won their two previous appearances in 1977 and 1978 .,"Real Madrid were appearing in their ninth final , they had won the competition six times , including a record five successive victories from 1956 to 1960 .",0
They had won their two previous appearances in 1977 and 1978 .,"The Nixon campaign countered this claim stating that Romney 's withdrawal was a "" TKO "" at the hands of Nixon .",1
"The road , known as New Castle County Road 26 , runs from Maryland Route 281 ( MD 281 ) at the Maryland state line south of Newark , Delaware and continues east to Christiana , ending near Delaware Route 1 ( DE 1 ) .","The road is paralleled by Interstate 95 ( I @-@ 95 , Delaware Turnpike ) to the north and U.S. Route 40 ( US 40 , Pulaski Highway ) to the south .",0
"The road , known as New Castle County Road 26 , runs from Maryland Route 281 ( MD 281 ) at the Maryland state line south of Newark , Delaware and continues east to Christiana , ending near Delaware Route 1 ( DE 1 ) .","This included what would become modern day Saint Paul but only part of Minneapolis , including the northeast , north @-@ central and east @-@ central portions of the state .",1
"First movement , Concerto , Op.","8 on YouTube , played by Jack Gibbons",0
"First movement , Concerto , Op.","While many residents in Hampshire County prior to the American Civil War were <unk> , it is thought that Brethren adherents in the county did not own slaves or depend upon slave labor .",1
The first Sassanian monarch <unk> I adopted the title following his victory over the <unk> .,Odaenathus ' son was crowned with a <unk> and a tiara ; the choice of the location was probably meant to express that the Palmyrene monarchs were now the successors of the <unk> and Iranian rulers who controlled Syria and Mesopotamia in the past .,0
The first Sassanian monarch <unk> I adopted the title following his victory over the <unk> .,Anti @-@ aircraft and airship protection was covered by the four 37 @-@ millimeter ( 1 @.,1
"Horvath said that "" ... losing a loved one to a random act of violence isn 't something that only happens to television action heroes or Immortals or people in another type of life , it happens in the real world <unk> totally unexpectedly , at a moment that makes no sense dramatically . ""","Tessa 's death scene shows MacLeod kneeling next to Tessa and <unk> her , then Richie reviving and speaking with MacLeod .",0
"Horvath said that "" ... losing a loved one to a random act of violence isn 't something that only happens to television action heroes or Immortals or people in another type of life , it happens in the real world <unk> totally unexpectedly , at a moment that makes no sense dramatically . ""","Broadway star Idina Menzel returns for the first time since the first season finale "" Journey to <unk> "" , when her character , Shelby Corcoran , adopted Quinn 's newborn baby , named Beth .",1
"Galveston is home to several historic ships : the tall ship <unk> ( the official <unk> Ship of Texas ) at the Texas <unk> Museum and USS <unk> and USS Stewart , both berthed at <unk> Park on nearby Pelican Island .",Galveston is ranked the number one cruise port on the Gulf Coast and fourth in the United States .,0
"Galveston is home to several historic ships : the tall ship <unk> ( the official <unk> Ship of Texas ) at the Texas <unk> Museum and USS <unk> and USS Stewart , both berthed at <unk> Park on nearby Pelican Island .","Patrick MacDonald of the Seattle Times , while <unk> Stefani 's song @-@ writing efforts and the show 's "" <unk> fun "" antics , reprimanded the singer 's dancing and limited material , given that she performed only twelve songs from Love .",1
Fighting for Time : 1969 – 1970 .,"Boston : Boston Publishing Company , 1983 .",0
Fighting for Time : 1969 – 1970 .,"In her book <unk> Roy 's <unk> : Untold Stories from Behind the Scenes , writer <unk> <unk> compared the reincarnation theme of Magadheera with that of <unk> ( 1958 ) , <unk> ( 1980 ) , Karan Arjun ( 1995 ) and <unk> <unk> <unk> ( 2007 ) .",1
This is the same list used for the 1984 season .,Storms were named Trudy and Vance for the first time in 1990 .,0
This is the same list used for the 1984 season .,Aretusa 's career ended shortly thereafter ; the Regia Marina discarded the ship in December and she was subsequently broken up for scrap .,1
"Bart and Lisa also try out and fail ; Lisa because she is a girl , and Bart because he read Homer 's badly @-@ <unk> proposal .","Angry and humiliated after the audition ends , only made worse by Burns kicking him in the butt with a mechanical boot , Bart pays him back by <unk> his mansion .",0
"Bart and Lisa also try out and fail ; Lisa because she is a girl , and Bart because he read Homer 's badly @-@ <unk> proposal .","Reid also believes that Rachel initiated character development in the five other main characters , describing her arrival as "" a catalyst for all of them to grow , because unlike the rest of them , Rachel is interested in finding meaning for her life "" .",1
"Although not mentioned in the <unk> Book , Oldham does appear in legal documents from the Middle Ages , invariably recorded as territory under the control of minor ruling families and barons .","In the 13th century , Oldham was documented as a manor held from the Crown by a family <unk> Oldham , whose seat was at Werneth Hall .",0
"Although not mentioned in the <unk> Book , Oldham does appear in legal documents from the Middle Ages , invariably recorded as territory under the control of minor ruling families and barons .","It was originally released for the Game Boy Advance in 2004 in Japan ; it has also been released for Microsoft Windows in 2006 , the Nintendo DS in 2007 , and the Wii in 2010 .",1
"As the video progresses , Cyrus is also seen with the blue Ford Ranger , either driving it or leaning against it while playing an acoustic guitar .","The video also includes clips of <unk> , Robby Ray , Miley Stewart , and Miley Stewart 's love interest , Travis Body .",0
"As the video progresses , Cyrus is also seen with the blue Ford Ranger , either driving it or leaning against it while playing an acoustic guitar .","In addition to the usual officers patrols left out overnight to monitor the enemy 's positions , Chauvel decided to leave out for the night the whole of the 1st Light Horse Brigade to hold an outpost line of about 3 miles ( 4 @.",1
"On 29 June , he was shot down behind enemy lines and captured in the vicinity of <unk> .","<unk> in <unk> prisoner @-@ of @-@ war camp , Germany , Eaton escaped but was recaptured and court @-@ <unk> , after which he was kept in solitary confinement .",0
"On 29 June , he was shot down behind enemy lines and captured in the vicinity of <unk> .",= = Twin towns – Sister cities = =,1
The turrets could elevate at a rate of 13 degrees per second and traverse at 6 degrees per second .,"They had a maximum range of about 30 @,@ 000 meters ( 98 @,@ 425 ft ) with a 55 @-@ kilogram ( 121 lb ) shell at a muzzle velocity of 950 m / s ( 3 @,@ 100 ft / s ) .",0
The turrets could elevate at a rate of 13 degrees per second and traverse at 6 degrees per second .,"During the same period , "" Maneater "" began its run as the second single in North America ; it was not as successful as "" Promiscuous "" , reaching number twenty @-@ two in Canada and the top twenty in the US , though it became a top five single on the ARIA Singles Chart .",1
The viaduct was constructed by concrete box girder deck of segmental construction .,"The East Moors Viaduct was originally known as the East Moors Link Road – Phase 2 , but now forms part of the Southern Way Link Road .",0
The viaduct was constructed by concrete box girder deck of segmental construction .,"Despite his injury , Federer finished the season on a high by defeating Richard <unk> to clinch the Davis Cup for Switzerland for the first time in its history .",1
"The Grangetown Link was featured in the 2006 Christmas episode of Doctor Who called "" The Runaway Bride "" .",It was first broadcast by BBC One on 25 December 2006 .,0
"The Grangetown Link was featured in the 2006 Christmas episode of Doctor Who called "" The Runaway Bride "" .",Gertrude <unk> Barrows was born in Minneapolis in 1883 .,1
"Apart from these , Alkan published only a few minor works between 1840 and 1844 , after which a series of virtuoso works was issued , many of which he had played at his successful recitals at Érard and elsewhere ; these included the Marche <unk> ( Op.","26 ) , the Marche <unk> ( Op.",0
"Apart from these , Alkan published only a few minor works between 1840 and 1844 , after which a series of virtuoso works was issued , many of which he had played at his successful recitals at Érard and elsewhere ; these included the Marche <unk> ( Op.","His grandfather <unk> Morhange had been a <unk> of the Talmud in Metz , and was probably a <unk> ( Hebrew teacher ) in the Jewish congregation at Paris .",1
"Here , with his fellow students ( who included Carl Maria von Weber ) , he learnt not only the craft of composition but also the business of music ( organising concerts and dealing with publishers ) .","Forming a close friendship with Weber and other pupils , Meyerbeer established the <unk> <unk> ( Musical Union ) , whose members undertook to support each other with favourable press criticism and networking .",0
"Here , with his fellow students ( who included Carl Maria von Weber ) , he learnt not only the craft of composition but also the business of music ( organising concerts and dealing with publishers ) .","Known as Main Street within Burkettsville , the route runs due east through the village 's central business district prior to entering a residential area where it intersects a few side streets .",1
"In 2013 , Midge appeared on the <unk> Barbie : Life in the <unk> where it is revealed that she has moved to Malibu .","With this , her canon has been changed extensively , and she is a teenager who is retro at heart and still uses old @-@ <unk> terms .",0
"In 2013 , Midge appeared on the <unk> Barbie : Life in the <unk> where it is revealed that she has moved to Malibu .",On 1 and 3 January she ferried supplies and reinforcements for the Soviet bridgehead on the Kerch Peninsula .,1
"Due to the poor response to the demand for the surrender of weapons , the deadline was extended several times until a date of 8 July was fixed .","On 17 May , courts @-@ martial were established to try those that were arrested in possession of weapons , and those found guilty were immediately executed by firing squad .",0
"Due to the poor response to the demand for the surrender of weapons , the deadline was extended several times until a date of 8 July was fixed .",= = Season summary = =,1
"With growing prosperity since the last decade of the 20th century , Ireland became a destination for immigrants .","Since the European Union expanded to include Poland in 2004 , Polish people have made up the largest number of immigrants ( over 150 @,@ 000 ) from Central Europe .",0
"With growing prosperity since the last decade of the 20th century , Ireland became a destination for immigrants .","The terrible heat was not as bad as the <unk> dust storms which blow once every 50 days for between a few hours and several days ; the air is turned into a haze of floating sand particles flung about by a strong , hot <unk> wind .",1
"In regions where traditional roles prevail , a stay @-@ at @-@ home dad might be <unk> by stay @-@ at @-@ home mom 's peer group .","In order to find support for their choice , these men have created and joined many support networks .",0
"In regions where traditional roles prevail , a stay @-@ at @-@ home dad might be <unk> by stay @-@ at @-@ home mom 's peer group .","Rowlinson <unk> the Marxist theorist Louis <unk> 's extension of the argument that ideology is <unk> , finding that Tennyson 's poem "" comes before an ideological construction for which it nonetheless makes people nostalgic "" .",1
"Aside from taking the first close @-@ up pictures of the planet , the probes discovered its magnetosphere and its largely fluid interior .","The Voyager 1 and Voyager 2 probes visited the planet in 1979 , and studied its moons and the ring system , discovering the volcanic activity of Io and the presence of water ice on the surface of Europa .",0
"Aside from taking the first close @-@ up pictures of the planet , the probes discovered its magnetosphere and its largely fluid interior .","Most did not stay in the area for long , as they failed to find significant resources .",1
Urban development between the mid @-@ 1950s and the late 1960s <unk> .,Much of the water reclaimed from the Everglades was sent to newly developed areas .,0
Urban development between the mid @-@ 1950s and the late 1960s <unk> .,"After 23 years as chairman and single biggest shareholder ( approximately 38 % ) , Doug Ellis finally decided to sell his stake in Aston Villa due to ill @-@ health .",1
The <unk> Master Chief is <unk> away aboard an ancient Forerunner ship .,"On a course set for Earth , he is overwhelmed by a Covenant strike force and rendered unconscious .",0
The <unk> Master Chief is <unk> away aboard an ancient Forerunner ship .,= = Ecology and behaviour = =,1
"On 5 February , ten Baptist missionaries from Idaho led by Laura <unk> were charged with criminal association and kidnapping for trying to smuggle 33 children out of Haiti .",The missionaries claimed they were rescuing orphaned children but investigations revealed that more than 20 of the children had been taken from their parents after they were told the children would have a better life in America .,0
"On 5 February , ten Baptist missionaries from Idaho led by Laura <unk> were charged with criminal association and kidnapping for trying to smuggle 33 children out of Haiti .","Adam <unk> of Entertainment Weekly named it one of the best tracks on Happy to You , while Will Salmon of Clash and Amber <unk> of The Huffington Post called it a standout .",1
"<unk> stated that as political fiction , it is "" one of the best novels ... about the terrorist mentality "" since Joseph Conrad 's The Secret Agent ( 1907 ) , although this was questioned by William H. <unk> in The Hudson Review , who wrote that compared to Conrad , The Good Terrorist is "" <unk> "" .",Several commentators have pointed out that it is more a novel about politics than political fiction .,0
"<unk> stated that as political fiction , it is "" one of the best novels ... about the terrorist mentality "" since Joseph Conrad 's The Secret Agent ( 1907 ) , although this was questioned by William H. <unk> in The Hudson Review , who wrote that compared to Conrad , The Good Terrorist is "" <unk> "" .","Thirteen @-@ year @-@ old Yue wanders behind the temple and finds the "" Cave of Dripping Water "" , in which lives a magical snake .",1
He was named in Spain 's team for the 2009 FIFA Confederations Cup in June .,"He scored his second hat @-@ trick for Spain after 17 minutes into a Confederations Cup game against New Zealand on 14 June , thus recording the fastest hat @-@ trick by a player for Spain .",0
He was named in Spain 's team for the 2009 FIFA Confederations Cup in June .,"In 1666 his <unk> home was destroyed by fire , supposedly because of "" the <unk> of the maid "" .",1
The two fleets were showered by their respective nations with both praise and criticism – the latter particularly directed at those captains not felt to have contributed significantly to the fighting .,The British fleet in Spithead was treated with a Royal visit by King George III and the entire royal household .,0
The two fleets were showered by their respective nations with both praise and criticism – the latter particularly directed at those captains not felt to have contributed significantly to the fighting .,"In the last year @-@ and @-@ a @-@ half before his retirement in 1931 , Weir was the chairman of both the Central Board of Health and the Public Relief Board , <unk> at the latter .",1
"The altar to the left is dedicated to Saint Rose of Lima , considered a protector of Mexico City .","To the right is an urn which holds the remains of Agustín de <unk> , who briefly ruled Mexico in the 19th century .",0
"The altar to the left is dedicated to Saint Rose of Lima , considered a protector of Mexico City .",When the NY 312 designation was shifted south to its current location in the town of Southeast c .,1
"In the latter half of 1929 , the highway was rerouted between Saginaw and Reese , using a set of parallel roadways to the south of the previous routing ; this change was reversed in 1933 .",M @-@ 81 was fully paved when the last section between Ellington and <unk> in Tuscola County was finished in late 1946 or early 1947 .,0
"In the latter half of 1929 , the highway was rerouted between Saginaw and Reese , using a set of parallel roadways to the south of the previous routing ; this change was reversed in 1933 .",He also noted that by this point there were only 300 of the Order 's brethren left in the east .,1
Somerset next picked up victories against Yorkshire and Sussex before scoring the second @-@ highest ever fourth innings winning total in the County Championship to beat Yorkshire at Taunton .,"These three wins propelled Somerset to third in the competition at the start of July , and they did not drop below this position for the remainder of the season .",0
Somerset next picked up victories against Yorkshire and Sussex before scoring the second @-@ highest ever fourth innings winning total in the County Championship to beat Yorkshire at Taunton .,Many other details are defaced but a kneeling figure in the front is inferred to be the king who ordered the image to be carved .,1
"FRELIMO attack groups had also begun to grow in size to include over 100 soldiers in certain cases , and the insurgents also began to accept women fighters into their ranks .","On either October 10 or October 11 , 1966 , on returning to Tanzania after inspecting the front lines , <unk> Samuel <unk> was shot dead by Lourenço <unk> , a fellow FRELIMO guerrilla who was said to be in the employ of the Portuguese .",0
"FRELIMO attack groups had also begun to grow in size to include over 100 soldiers in certain cases , and the insurgents also began to accept women fighters into their ranks .","Peter 's <unk> by the witch <unk> , of whom he regards himself a slave , is possibly in reference to Johanna Kessler .",1
"In the 1940s , after Hergé 's popularity increased , he <unk> many of the original black @-@ and @-@ white Tintin stories in colour using the ligne claire ( "" clear line "" ) drawing style he had developed , so that they fitted in visually with the newer Adventures of Tintin that he had produced .","Hergé first made some changes in this direction in 1940 , when the story was serialised in the Flemish @-@ language Het <unk> <unk> .",0
"In the 1940s , after Hergé 's popularity increased , he <unk> many of the original black @-@ and @-@ white Tintin stories in colour using the ligne claire ( "" clear line "" ) drawing style he had developed , so that they fitted in visually with the newer Adventures of Tintin that he had produced .","During the semifinals , Maeda drew with <unk> Lundin .",1
"The 300th Flight Detachment provided a squadron for aerial reconnaissance , and increased the numbers of aircraft available to support the advance across Sinai .","These Pasha I aircraft were faster and more effective than the "" <unk> <unk> "" British aircraft and were able to maintain air superiority over the <unk> .",0
"The 300th Flight Detachment provided a squadron for aerial reconnaissance , and increased the numbers of aircraft available to support the advance across Sinai .","It required the drilling of a 10 @,@ <unk> m ( 35 @,@ 056 ft ) deep well under 1 @,@ 260 m ( 4 @,@ 130 ft ) of water , making it one of the deepest wells ever drilled at the time of discovery .",1
The earthquake struck in the most populated area of the country .,The International Federation of Red Cross and Red Crescent Societies estimated that as many as 3 million people had been affected by the quake .,0
The earthquake struck in the most populated area of the country .,"The British soldiers in the guard detail <unk> in their attempt to prevent the Germans from scuttling the ships ; they shot and killed Markgraf 's captain , Walter Schumann , who was in a lifeboat , and an enlisted man .",1
The use of the name Earnest may have been a homosexual in @-@ joke .,"In 1892 , three years before Wilde wrote the play , John <unk> Nicholson had published the book of <unk> poetry Love In Earnest .",0
The use of the name Earnest may have been a homosexual in @-@ joke .,"At around that time , the system was dissipating , although MFR continued tracking Domonia until February 2 , when it dissipated just offshore the east coast of South Africa .",1
U2 briefly interrupted these sessions in June to join Amnesty International 's A <unk> of Hope tour .,"Following the first concert in San Francisco , lead singer Bono met René Castro , a Chilean mural artist .",0
U2 briefly interrupted these sessions in June to join Amnesty International 's A <unk> of Hope tour .,"The International 2016 also broke the record for the highest prize pool in eSports history , surpassing the record that The International 2015 had set the previous year .",1
"Cooperative breeding has been described as a strategy for decreasing nest predation , although one study found no relationship between the number of helpers visiting a nest site and its success or failure .","Noisy miners were seen to have a range of strategies to increase their breeding success including multiple broods , laying eggs early in the season , nesting low in the canopy and group mobbing of predators ; these measures did not guarantee against nest failure due to the diversity of potential predators in the noisy miner 's open woodland habitat .",0
"Cooperative breeding has been described as a strategy for decreasing nest predation , although one study found no relationship between the number of helpers visiting a nest site and its success or failure .",He is responsible for cleaning the sheep pens and taking the sheep and lambs for grazing .,1
"The production of the album , her last to date , was a collaboration with artists and producers such as Men of <unk> 's Spanky Williams , Keith Thomas , and Eliot Kennedy .",It also featured contributions from her children .,0
"The production of the album , her last to date , was a collaboration with artists and producers such as Men of <unk> 's Spanky Williams , Keith Thomas , and Eliot Kennedy .","Upon sobering up , Tintin discovers a necklace of a crab with golden claws on the now @-@ subdued owner of the wine cellar , Omar ben Salaad , and realizes that he is the leader of the drug <unk> .",1
"In December 2008 , he departed Blackburn and forged a career in Australia with North Queensland Fury and Perth Glory .","In 2011 , he joined Thai side Muangthong United as a player , but later was appointed player @-@ manager which he remained until his retirement in 2012 .",0
"In December 2008 , he departed Blackburn and forged a career in Australia with North Queensland Fury and Perth Glory .",= = Design and construction = =,1
"In August 2011 , militant group al Shabaab made a strategic withdrawal from Mogadishu to return to hit @-@ and @-@ run tactics .",Mayor Mohamed Nur recognized the opportunity as critical to stabilizing and rebuilding the city by any means necessary .,0
"In August 2011 , militant group al Shabaab made a strategic withdrawal from Mogadishu to return to hit @-@ and @-@ run tactics .",= = = Hiatus and the death of Layne Staley ( 1996 – 2002 ) = = =,1
The villages of Dura al @-@ <unk> ' and Ein <unk> are located adjacent to Jifna to the east and northeast respectively .,"Other nearby localities include Abu <unk> to the southwest , <unk> to the southeast , Ein <unk> to the east , ' <unk> to the north and Bir Zeit to the northwest .",0
The villages of Dura al @-@ <unk> ' and Ein <unk> are located adjacent to Jifna to the east and northeast respectively .,The table on the right shows the ACE for each storm in the season .,1
The highway initially connected downtown Lindsay with Bobcaygeon .,This section was fully paved by the end of 1937 .,0
The highway initially connected downtown Lindsay with Bobcaygeon .,Many of the place names featured in the series are puns : the town of <unk> was a pun on the French Que <unk> ?,1
"For his performance , Olivier was nominated for the Academy Award for Best Actor .","He also made an adaptation of The Moon and <unk> in 1960 , winning an Emmy Award .",0
"For his performance , Olivier was nominated for the Academy Award for Best Actor .","He intended to join the Royal Air Force but instead made another propaganda film , 49th <unk> , narrated short pieces for the Ministry of Information , and joined the Fleet Air Arm because Richardson was already in the service .",1
"To create the illusion of Young falling through the window , the visual effects crew placed small explosive charges on the tempered glass window ; Slocum 's <unk> <unk> Burke then jumped through while they triggered the glass to explode .","Two cameras , one high and one profile , were positioned to shoot the fall , and were <unk> together later into a matte painting of the World Trade Building .",0
"To create the illusion of Young falling through the window , the visual effects crew placed small explosive charges on the tempered glass window ; Slocum 's <unk> <unk> Burke then jumped through while they triggered the glass to explode .",The gable wall above the double door entrance that links the west towers is nearly complete and was rebuilt following the fire of 1390 .,1
"On 2 January 1793 , almost one year into the French Revolutionary War , republican @-@ held forts at Brest in Brittany fired on the British brig HMS <unk> .","[ Note B ] A few weeks later , following the execution of the imprisoned King Louis XVI , diplomatic ties between Britain and France were broken .",0
"On 2 January 1793 , almost one year into the French Revolutionary War , republican @-@ held forts at Brest in Brittany fired on the British brig HMS <unk> .",= Romanian Land Forces =,1
"Super Mario Land 's shooter levels , new to the series , were not revisited in subsequent series games .",And subsequent series games such as Super Mario Land 2 both dropped the original 's tiny scale and chose the classic fire flower fireballs over the first installment 's bouncing balls .,0
"Super Mario Land 's shooter levels , new to the series , were not revisited in subsequent series games .","Glanville explained the time @-@ consuming nature of this process : "" [ The puppeteers ] used to spend over half an hour on each shot getting rid of these wires , looking through the camera , <unk> a bit more [ paint ] here , anti @-@ flare there ; and , I mean , it 's very depressing when somebody will say to us , ' Of course the wires showed . '",1
"In her treatment of the novel , María Regina Ruiz claims that power gives its <unk> the ability to make prohibitions ; prohibitions that are reflected in history , the study of which reveals what is and what is not told .",The government 's actions in The Feast of the Goat demonstrate the discourse of prohibition : foreign newspapers and magazines were prohibited from entering Trujillo 's country as they were seen as a threat to the government 's ideas .,0
"In her treatment of the novel , María Regina Ruiz claims that power gives its <unk> the ability to make prohibitions ; prohibitions that are reflected in history , the study of which reveals what is and what is not told .","Most of the film was shot in and around Hyderabad and Chennai , except for a song which was shot at the province of <unk> in Thailand and the city of Bangkok .",1
"The story , set eighteen years after Destiny , follows Kyle Dunamis , the son of the previous game 's protagonists Stahn <unk> and Rutee <unk> .","Shortly after meeting a mysterious girl named Reala while trying to save Rutee 's orphanage from bankruptcy , Kyle is drawn into conflict with Barbatos , a cruel warrior responsible for killing Stahn , and the machinations of <unk> , a religious leader seeking to bring peace to mankind .",0
"The story , set eighteen years after Destiny , follows Kyle Dunamis , the son of the previous game 's protagonists Stahn <unk> and Rutee <unk> .","By May 2003 , the brigade had been completely repurposed .",1
Several influential decisions of the House of Lords have determined the limited scope for the use of prerogative powers .,"In 1915 , an appeal was made to the House of Lords , Re <unk> of Right ( ' <unk> Aerodrome Case ' ) , but during the appeal the case was settled and the appeal withdrawn when the Crown agreed to pay compensation .",0
Several influential decisions of the House of Lords have determined the limited scope for the use of prerogative powers .,= = = Sovetskaya Rossiya = = =,1
"At the time of its initial broadcast , "" Hi , Infidelity "" was viewed by 2 @.","@ 75 million people , ranking 94th out of 97 in the weekly rankings .",0
"At the time of its initial broadcast , "" Hi , Infidelity "" was viewed by 2 @.","As of 2014 , the school follows the National Curriculum in years 7 – 11 and offers a range of GCSEs ( national exams taken by students aged 14 – 16 ) and A @-@ levels ( national exams taken by pupils aged 16 – 18 ) .",1
"As a four @-@ year @-@ old in 1882 , Tristan showed much improved form and established himself as one of the leading <unk> in Europe by winning ten times in fourteen starts .",He began the year by winning a Queen 's Plate at Newmarket in April and followed up by winning His Majesty 's Plate at Chester in May .,0
"As a four @-@ year @-@ old in 1882 , Tristan showed much improved form and established himself as one of the leading <unk> in Europe by winning ten times in fourteen starts .","Thunderbird 2 : a <unk> carrier aircraft that transports rescue vehicles and equipment to accident zones in <unk> capsules known as "" <unk> "" .",1
Hibiscus is a London restaurant owned and run by French chef Claude Bosi .,"It was opened in 2000 in Ludlow , Shropshire , and won its first Michelin star within a year , and a second in the 2004 Guide .",0
Hibiscus is a London restaurant owned and run by French chef Claude Bosi .,All dams are on the upper half of the river above Sioux City ; the lower river is uninterrupted due to its longstanding use as a shipping channel .,1
"Throughout his early career , although determined to become a musician , Beer found it difficult to decide between playing and composition .","Certainly other professionals in the decade 1810 – 1820 , including Moscheles , considered him amongst the greatest <unk> of his period .",0
"Throughout his early career , although determined to become a musician , Beer found it difficult to decide between playing and composition .","A collected edition of Wilde 's works , published in 1908 and edited by Robert Ross , helped to restore his reputation as an author .",1
"Ireland has made a large contribution to world literature in all its branches , particularly in the English language .","Poetry in Irish is among the oldest vernacular poetry in Europe , with the earliest examples dating from the 6th century .",0
"Ireland has made a large contribution to world literature in all its branches , particularly in the English language .",The following year Olivier appeared alongside Vivien Leigh in the historical drama Fire Over England .,1
""" The <unk> US <unk> "" .",Retrieved 10 April 2007 .,0
""" The <unk> US <unk> "" .","The two German ships broke out of <unk> , which was surrounded by the British navy and reached Turkey .",1
"The Egyptians called antimony <unk> ; in hieroglyphs , the vowels are uncertain , but there is an Arabic tradition that the word is <unk> <unk> .","The Greek word , <unk> stimmi , is probably a loan word from Arabic or from Egyptian <unk>",0
"The Egyptians called antimony <unk> ; in hieroglyphs , the vowels are uncertain , but there is an Arabic tradition that the word is <unk> <unk> .",The storm 's remnants died out in the country 's desert .,1
"Other modes of transmission include organ transplantation , through breast milk , and by accidental laboratory exposure .","Chagas disease can also be spread <unk> ( from a pregnant woman to her baby ) through the <unk> , and accounts for approximately 13 % of stillborn deaths in parts of Brazil .",0
"Other modes of transmission include organ transplantation , through breast milk , and by accidental laboratory exposure .","Executive producer Cameron Welsh said ' She is an exciting talent and I think audiences are going to love her character and respond really well to her . """,1
"When the people of the household saw him , they were astonished to see that Koan had fur covering much of his body , along with a fox 's tail .","Then Koan transformed in front of them , becoming an elderly fox and running away . """,0
"When the people of the household saw him , they were astonished to see that Koan had fur covering much of his body , along with a fox 's tail .","Rear Admiral Ludwig von Reuter , who was in command of the interned High Seas Fleet , ordered the ships to be scuttled in an attempt to prevent their possible seizure by the Royal Navy .",1
"Along the coasts of Texas and Louisiana , the depression produced significant amounts of rainfall , peaking at 11 @.",@ 15 in ( 283 mm ) near Freeport .,0
"Along the coasts of Texas and Louisiana , the depression produced significant amounts of rainfall , peaking at 11 @.",The basement of the building provides a home to the Fashion Museum .,1
"The initial idea to write a book about Simón Bolívar came to García Márquez through his friend and fellow Colombian writer Álvaro Mutis , to whom the book is dedicated .","Mutis had started writing a book called El Último <unk> about Bolívar 's final voyage along the Magdalena River , but never finished it .",0
"The initial idea to write a book about Simón Bolívar came to García Márquez through his friend and fellow Colombian writer Álvaro Mutis , to whom the book is dedicated .","However , Woodfull was totally <unk> by such suggestions .",1
Races with hurdles as obstacles were first popularised in the 19th century in England .,"The first known event , held in 1830 , was a variation of the 100 @-@ yard dash that included heavy wooden barriers as obstacles .",0
Races with hurdles as obstacles were first popularised in the 19th century in England .,"The owners realized if they suspended Ross , they would also have to suspend all those he signed , hurting the league .",1
"It can also "" parachute "" – descending by leaping and spreading its wings .",In this way it may travel a few metres ( yards ) at an angle of less than 45 degrees .,0
"It can also "" parachute "" – descending by leaping and spreading its wings .",Members of North Vietnam 's Politburo were divided by the issues surrounding the Soviet strategy of peaceful co @-@ existence versus the Chinese strategy of supporting national liberation movements in emerging countries .,1
<unk> transfer conditions meant Leeds United still paid a significant proportion of Fowler 's wages .,"Fowler made his Manchester City debut against West Bromwich Albion on 1 February 2003 , but made a poor start to his Manchester City career , scoring just two goals in the remainder of the season .",0
<unk> transfer conditions meant Leeds United still paid a significant proportion of Fowler 's wages .,"The church was dedicated in April 1860 , to St. Joseph , the patron saint of laborers .",1
"During the earlier seasons of the show , Maggie 's equivalent of a hallmark was to trip over her clothing and fall on her face while trying to walk , causing a loud <unk> on the floor , but this was toned down in the later seasons .","She has <unk> for her pacifier , on which she is always seen sucking .",0
"During the earlier seasons of the show , Maggie 's equivalent of a hallmark was to trip over her clothing and fall on her face while trying to walk , causing a loud <unk> on the floor , but this was toned down in the later seasons .","Nick Campbell of TV.com complimented the sentimental storylines in the episode , specifically between Jim , Pam and Dwight .",1
"From base camps scattered through the forests of Montana , Idaho and Oregon , the men were flown as many as 200 miles to fire sites , carrying <unk> tools and a two @-@ day supply of K @-@ rations .","For larger fires , additional men , supplies and food were <unk> to expand the effort .",0
